year,Topic 1: Hospital & Ventilator,Topic 2: Commerce & Stock,Topic 3: Accountability & Equality,Topic 4: Ballot & Republican
2016,0.008341605623553147,0.23967221636035396,0.14641372093464164,0.6055724570814512
2017,0.008273651916153606,0.32488018731002566,0.3076151625422205,0.3592309982316002
2018,0.008312164511955633,0.4338675460933994,0.23838648445065222,0.31943380494399276
2019,0.00828787390457293,0.29752768088358467,0.2774951965671135,0.41668924864472895
2020,0.4583171884668887,0.1387406288688229,0.17294436247911096,0.22999782018517745
